. list wid jid startdate stopdate empstatus in 16/35, sepby(wid)

     +-----------------------------------------------------+
     |     wid   jid   startd~e   stopdate       empstatus |
     |-----------------------------------------------------|
 16. | 2201101     1     1947m1    1959m11   Wage employed |
 17. | 2201101     2    1959m11     1985m9   Wage employed |
 18. | 2201101     3     1985m9     1995m1   Wage employed |
 19. | 2201101     4     1995m1     2005m8   Self employed |
     |-----------------------------------------------------|
 20. | 2201102     1     1957m6     1997m6      Unemployed |
 21. | 2201102     2     1997m6     2005m8   Self employed |
 22. | 2201102     3     1999m8     2006m7   Self employed |
     |-----------------------------------------------------|
 23. | 2201201     1     1980m1    1998m12   Wage employed |
 24. | 2201201     2     1999m1    2002m12   Wage employed |
 25. | 2201201     3     2003m5     2005m8   Self employed |
 26. | 2201201     4     2006m8     2006m7   Wage employed |
     |-----------------------------------------------------|
 27. | 2201202     1     2005m8     2006m7   Wage employed |
     |-----------------------------------------------------|
 28. | 2201301     1     1974m1     2005m8   Self employed |
     |-----------------------------------------------------|
 29. | 2201302     1          .     2006m7                 |
     |-----------------------------------------------------|
 30. | 2201303     1     2006m8     2006m7   Wage employed |
     |-----------------------------------------------------|
 31. | 2201304     1     2005m8     2006m7   Wage employed |
     |-----------------------------------------------------|
 32. | 2201401     1    1977m10     1983m4      Unemployed |
 33. | 2201401     2     1983m6     1996m1   Wage employed |
 34. | 2201401     3     1996m3     1999m6      Unemployed |
 35. | 2201401     4     1999m7     2004m7   Wage employed |
     +-----------------------------------------------------+
