. list wid jid empstatus earn in 16/35 if empstatus!= "Retired"| empstatus!= "U
> nemployed", sepby(wid)

     +------------------------------------------+
     |     wid   jid       empstatus       earn |
     |------------------------------------------|
 16. | 2201101     1   Wage employed       15.2 |
 17. | 2201101     2   Wage employed       17.5 |
 18. | 2201101     3   Wage employed   666.6667 |
 19. | 2201101     4   Self employed   535.7143 |
     |------------------------------------------|
 20. | 2201102     1      Unemployed          . |
 21. | 2201102     2   Self employed   833.3333 |
 22. | 2201102     3   Self employed   466.6667 |
     |------------------------------------------|
 23. | 2201201     1   Wage employed        250 |
 24. | 2201201     2   Wage employed        200 |
 25. | 2201201     3   Self employed   35.71429 |
 26. | 2201201     4   Wage employed   1333.333 |
     |------------------------------------------|
 27. | 2201202     1   Wage employed   1333.333 |
     |------------------------------------------|
 28. | 2201301     1   Self employed   27.77778 |
     |------------------------------------------|
 29. | 2201302     1                          . |
     |------------------------------------------|
 30. | 2201303     1   Wage employed   833.3333 |
     |------------------------------------------|
 31. | 2201304     1   Wage employed   1090.909 |
     |------------------------------------------|
 32. | 2201401     1      Unemployed          . |
 33. | 2201401     2   Wage employed   303.0303 |
 34. | 2201401     3      Unemployed          . |
 35. | 2201401     4   Wage employed        800 |
     +------------------------------------------+
