. sort wid startdate

. list wid startdate stopdate empstatus samejob in 16/35, sepby(wid)

     +---------------------------------------------------------+
     |     wid   startd~e   stopdate       empstatus   samejob |
     |---------------------------------------------------------|
 16. | 2201101     1947m1    1959m11        Wage job         0 |
 17. | 2201101    1959m11     1985m9        Wage job         0 |
 18. | 2201101     1985m9     1995m1        Wage job         0 |
 19. | 2201101     1995m1     2005m8   Self employed         0 |
     |---------------------------------------------------------|
 20. | 2201102     1957m6     1997m6      Unemployed         0 |
 21. | 2201102     1997m6     2005m8   Self employed         0 |
 22. | 2201102     1999m8     2006m7   Self employed         1 |
     |---------------------------------------------------------|
 23. | 2201201     1980m1    1998m12        Wage job         0 |
 24. | 2201201     1999m1    2002m12        Wage job         0 |
 25. | 2201201     2003m5     2005m8   Self employed         0 |
 26. | 2201201     2006m8     2006m7        Wage job         0 |
     |---------------------------------------------------------|
 27. | 2201202     2005m8     2006m7        Wage job         0 |
     |---------------------------------------------------------|
 28. | 2201301     1974m1     2005m8   Self employed         0 |
     |---------------------------------------------------------|
 29. | 2201302          .     2006m7                         1 |
     |---------------------------------------------------------|
 30. | 2201303     2006m8     2006m7        Wage job         0 |
     |---------------------------------------------------------|
 31. | 2201304     2005m8     2006m7        Wage job         1 |
     |---------------------------------------------------------|
 32. | 2201401    1977m10     1983m4      Unemployed         0 |
 33. | 2201401     1983m6     1996m1        Wage job         0 |
 34. | 2201401     1996m3     1999m6      Unemployed         0 |
 35. | 2201401     1999m7     2004m7        Wage job         0 |
     +---------------------------------------------------------+
