. sort wid startdate

. list wid startdate stopdate empstatus  in 16/35, sepby(wid)

     +-----------------------------------------------+
     |     wid   startd~e   stopdate       empstatus |
     |-----------------------------------------------|
 16. | 2201101     1947m1    1959m11        Wage job |
 17. | 2201101    1959m11     1985m9        Wage job |
 18. | 2201101     1985m9     1995m1        Wage job |
 19. | 2201101     1995m1     2005m8   Self employed |
     |-----------------------------------------------|
 20. | 2201102     1957m6     1997m6      Unemployed |
 21. | 2201102     1997m6     2005m8   Self employed |
 22. | 2201102     1999m8     2006m7   Self employed |
     |-----------------------------------------------|
 23. | 2201201     1980m1    1998m12        Wage job |
 24. | 2201201     1999m1    2002m12        Wage job |
 25. | 2201201     2003m5     2005m8   Self employed |
 26. | 2201201     2006m8     2006m7        Wage job |
     |-----------------------------------------------|
 27. | 2201202     2005m8     2006m7        Wage job |
     |-----------------------------------------------|
 28. | 2201301     1974m1     2005m8   Self employed |
     |-----------------------------------------------|
 29. | 2201302          .     2006m7                 |
     |-----------------------------------------------|
 30. | 2201303     2006m8     2006m7        Wage job |
     |-----------------------------------------------|
 31. | 2201304     2005m8     2006m7        Wage job |
     |-----------------------------------------------|
 32. | 2201401    1977m10     1983m4      Unemployed |
 33. | 2201401     1983m6     1996m1        Wage job |
 34. | 2201401     1996m3     1999m6      Unemployed |
 35. | 2201401     1999m7     2004m7        Wage job |
     +-----------------------------------------------+
